cont,pkts,class,proto,dport,lbanda,duracao,pkt_soma_tam,pkt_maior_tam,pkt_menor_tam,pkts_por_seg,1stq_pkt_tam,3rdq_pkt_tam,pkt_tam_media,pkt_tam_mediana,pkt_tam_std,pkts_maiores_media,pacotes_menores_media,payload_soma,payload_menor,payload_maior,payload_media,payload_std,payload_menor_128,payload_entre128_1024,payload_maior_1024,1stq_payload_tam,3rdq_payload_tam,IAT_menor,IAT_maior,IAT_soma,IAT_media,IAT_maiores_media,IAT_menores_media,IAT_std,1stq_IAT,3rdq_IAT,tcp_push_flags,tcp_urg_flags,tcp_syn_flags,tcp_fin_flags,tcp_rst_flags,tcp_ack_flags,tcp_flags,header_tam_soma,header_tam_media,header_tam_std
2759,15,besteffort,0,0.07631036850537881,0.14457831325301204,0.00006972,1.008,1.008,1.008,0.14343086632243257,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000499,0.0001012,0.00006972,0.000747,0.5333333333333333,0.4,9.739169809148445e-06,0.000074,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2760,15,besteffort,0,0.07631036850537881,0.14453685116145687,0.00006974,1.008,1.008,1.008,0.14338973329509608,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000733,0.0000758,0.00006974,0.0007472142857142857142857142857,0.4,0.5333333333333333,5.808596725403421e-07,0.0000745,0.0000751,0,0,0,0,0,0,0,0.2,0.2,0.0
2761,15,besteffort,0,0.07631036850537881,0.14455066921606116,0.00006973333333333333333333333333,1.008,1.008,1.008,0.14340344168260039,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000741,0.0000752,0.00006973333333333333333333333333,0.0007471428571428571428571428571,0.3333333333333333,0.6,3.043896536094645e-07,0.0000746,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2762,15,besteffort,0,0.07631036850537881,0.14463363305911614,0.00006969333333333333333333333333,1.008,1.008,1.008,0.14348574708245648,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000695,0.0000782,0.00006969333333333333333333333333,0.0007467142857142857142857142857,0.6666666666666666,0.26666666666666666,1.8175448791584494e-06,0.0000745,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2763,15,besteffort,0,0.07631036850537881,0.14452303574842287,0.00006974666666666666666666666667,1.008,1.008,1.008,0.14337602752819728,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000718,0.0000785,0.00006974666666666666666666666667,0.0007472857142857142857142857143,0.5333333333333333,0.4,1.4113967607751303e-06,0.0000745,0.0000752,0,0,0,0,0,0,0,0.2,0.2,0.0
2764,15,besteffort,0,0.07631036850537881,0.1444954128440367,0.00006976,1.008,1.008,1.008,0.14334862385321104,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000734,0.0000772,0.00006976,0.0007474285714285714285714285714,0.5333333333333333,0.4,9.64153430079826e-07,0.0000739,0.0000751,0,0,0,0,0,0,0,0.2,0.2,0.0
2765,15,besteffort,0,0.07631036850537881,0.14427480916030533,0.00006986666666666666666666666667,1.008,1.008,1.008,0.1431297709923664,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000731,0.0000766,0.00006986666666666666666666666667,0.0007485714285714285714285714286,0.5333333333333333,0.4,8.226388599364554e-07,0.0000743,0.0000753,0,0,0,0,0,0,0,0.2,0.2,0.0
2766,15,besteffort,0,0.07631036850537881,0.14445399828030955,0.00006978,1.008,1.008,1.008,0.14330753797649756,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000709,0.0000781,0.00006978,0.0007476428571428571428571428571,0.6,0.3333333333333333,1.746264234161086e-06,0.000074,0.0000751,0,0,0,0,0,0,0,0.2,0.2,0.0
2767,15,besteffort,0,0.07631036850537881,0.1444954128440367,0.00006976,1.008,1.008,1.008,0.14334862385321104,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000739,0.0000752,0.00006976,0.0007474285714285714285714285714,0.4666666666666667,0.4666666666666667,2.8713930346059685e-07,0.0000746,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
2768,15,besteffort,0,0.07631036850537881,0.1445092229762019,0.00006975333333333333333333333333,1.008,1.008,1.008,0.14336232438115262,1.008,1.008,1.008,1.008,0.0,0.0,1.0,0.98,0.98,0.98,0.98,0.0,0.0,0.0,1.0,0.98,0.98,0.0000729,0.000077,0.00006975333333333333333333333333,0.0007473571428571428571428571429,0.3333333333333333,0.6,8.747302791286523e-07,0.0000745,0.0000749,0,0,0,0,0,0,0,0.2,0.2,0.0
